<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2025.05.09	00:03:31.359	1.32419	1.32516			6
2025.05.09	00:04:04.664	1.32419				2
2025.05.09	00:04:29.003	1.32422				2
2025.05.09	00:04:31.770		1.32516			4
2025.05.09	00:05:01.092	1.32422				2
2025.05.09	00:05:04.234		1.32507			4
2025.05.09	00:05:52.293		1.32506			4
2025.05.09	00:05:53.220		1.32508			4
2025.05.09	00:05:55.998		1.32513			4
2025.05.09	00:06:00.010	1.32422				2
2025.05.09	00:06:32.378	1.32425				2
2025.05.09	00:06:56.050		1.32513			4
2025.05.09	00:07:00.050	1.32425				2
2025.05.09	00:07:22.120	1.32420	1.32499			6
2025.05.09	00:07:36.239	1.32425				2
2025.05.09	00:07:42.058	1.32420				2
2025.05.09	00:07:55.797	1.32417	1.32489			6
2025.05.09	00:08:01.091	1.32417				2
2025.05.09	00:08:16.416	1.32420				2
2025.05.09	00:08:37.277	1.32422				2
2025.05.09	00:08:38.505	1.32433	1.32537			6
2025.05.09	00:08:38.812	1.32438				2
2025.05.09	00:08:48.983	1.32433				2
2025.05.09	00:09:00.080	1.32433				2
2025.05.09	00:09:38.639		1.32537			4
2025.05.09	00:09:38.949	1.32438				2
2025.05.09	00:09:43.875	1.32464	1.32553			6
2025.05.09	00:09:44.181	1.32461				2
2025.05.09	00:09:50.962		1.32542			4
2025.05.09	00:10:00.190	1.32461				2
2025.05.09	00:10:03.268		1.32540			4
2025.05.09	00:10:10.061		1.32536			4
2025.05.09	00:10:10.365		1.32534			4
2025.05.09	00:10:12.530	1.32435				2
2025.05.09	00:10:25.468	1.32431	1.32521			6
2025.05.09	00:10:30.055	1.32430	1.32520			6
2025.05.09	00:10:37.423	1.32429	1.32519			6
2025.05.09	00:10:42.049	1.32428	1.32518			6
2025.05.09	00:10:53.450	1.32453				2
2025.05.09	00:10:59.925	1.32428				2
2025.05.09	00:11:00.234	1.32428				2
2025.05.09	00:11:00.855	1.32453				2
2025.05.09	00:11:02.095	1.32410	1.32516			6
2025.05.09	00:11:02.402	1.32434	1.32513			6
2025.05.09	00:11:06.411	1.32442	1.32514			6
2025.05.09	00:11:07.034	1.32424				2
2025.05.09	00:11:07.951	1.32442				2
2025.05.09	00:11:09.181	1.32450	1.32517			6
