<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2025.02.18	00:00:00.065	1.26225	1.26269			6
2025.02.18	00:00:00.375	1.26203	1.26293			6
2025.02.18	00:00:00.990	1.26132	1.26324			6
2025.02.18	00:00:30.573	1.26162				2
2025.02.18	00:01:00.108	1.26162				2
2025.02.18	00:01:01.029		1.26324			4
2025.02.18	00:01:53.474	1.26180	1.26321			6
2025.02.18	00:02:00.246	1.26180				2
2025.02.18	00:02:53.761		1.26321			4
2025.02.18	00:03:00.183	1.26180				2
2025.02.18	00:03:31.502		1.26319			4
2025.02.18	00:04:00.100	1.26180				2
2025.02.18	00:04:11.791	1.26167				2
2025.02.18	00:04:31.458		1.26323			4
2025.02.18	00:05:00.041	1.26167				2
2025.02.18	00:05:04.965	1.26171				2
2025.02.18	00:05:07.102		1.26295			4
2025.02.18	00:05:20.807		1.26291			4
2025.02.18	00:05:21.118		1.26280			4
2025.02.18	00:05:30.593		1.26289			4
2025.02.18	00:05:32.108		1.26288			4
2025.02.18	00:06:00.096	1.26171				2
2025.02.18	00:06:06.231		1.26285			4
2025.02.18	00:06:06.535		1.26284			4
2025.02.18	00:06:12.285		1.26288			4
2025.02.18	00:06:18.087		1.26290			4
2025.02.18	00:06:41.680		1.26282			4
2025.02.18	00:06:41.984		1.26294			4
2025.02.18	00:06:42.904		1.26302			4
2025.02.18	00:06:44.422		1.26297			4
2025.02.18	00:06:44.722		1.26303			4
2025.02.18	00:06:49.306	1.26172	1.26281			6
2025.02.18	00:06:49.608		1.26266			4
2025.02.18	00:06:51.424		1.26267			4
2025.02.18	00:06:53.864		1.26271			4
2025.02.18	00:06:58.726		1.26276			4
2025.02.18	00:07:00.262	1.26172				2
2025.02.18	00:07:00.563		1.26274			4
2025.02.18	00:07:01.788		1.26265			4
2025.02.18	00:07:02.089	1.26171	1.26261			6
2025.02.18	00:07:05.733	1.26172	1.26266			6
2025.02.18	00:07:09.980		1.26272			4
2025.02.18	00:07:11.496		1.26271			4
2025.02.18	00:07:11.798	1.26170	1.26260			6
2025.02.18	00:07:21.315	1.26171	1.26257			6
2025.02.18	00:07:21.927		1.26258			4
2025.02.18	00:07:22.230		1.26257			4
2025.02.18	00:07:22.836		1.26258			4
2025.02.18	00:07:23.445		1.26257			4
2025.02.18	00:07:35.916		1.26256			4
2025.02.18	00:07:36.522		1.26257			4
2025.02.18	00:07:57.481		1.26258			4
2025.02.18	00:08:00.231	1.26171				2
2025.02.18	00:08:06.387		1.26257			4
2025.02.18	00:08:06.998		1.26259			4
2025.02.18	00:08:49.451		1.26258			4
2025.02.18	00:09:00.240	1.26171				2
2025.02.18	00:09:06.398	1.26173	1.26263			6
2025.02.18	00:09:06.700	1.26163	1.26253			6
2025.02.18	00:09:08.241	1.26165	1.26255			6
2025.02.18	00:09:08.547		1.26254			4
2025.02.18	00:09:14.701	1.26167	1.26257			6
2025.02.18	00:09:31.887		1.26256			4
2025.02.18	00:09:39.258	1.26168	1.26261			6
2025.02.18	00:09:39.564	1.26164	1.26254			6
2025.02.18	00:09:48.166	1.26165	1.26255			6
2025.02.18	00:10:00.157	1.26175				2
2025.02.18	00:10:02.626		1.26259			4
2025.02.18	00:10:02.933		1.26256			4
2025.02.18	00:10:06.318	1.26178				2
2025.02.18	00:10:06.622		1.26253			4
2025.02.18	00:10:07.553	1.26177				2
2025.02.18	00:10:10.932	1.26163				2
2025.02.18	00:10:14.622	1.26164	1.26254			6
2025.02.18	00:10:14.929	1.26165	1.26255			6
2025.02.18	00:10:15.552	1.26164	1.26254			6
2025.02.18	00:10:27.834	1.26165	1.26255			6
2025.02.18	00:10:53.360	1.26176				2
2025.02.18	00:10:53.976	1.26165				2
2025.02.18	00:10:55.201	1.26176				2
2025.02.18	00:10:58.889	1.26165				2
2025.02.18	00:11:00.119	1.26176				2
2025.02.18	00:11:03.188	1.26177				2
2025.02.18	00:11:03.805	1.26165				2
2025.02.18	00:11:05.037	1.26177				2
2025.02.18	00:11:07.804		1.26254			4
2025.02.18	00:11:08.735	1.26164				2
2025.02.18	00:11:09.957	1.26177				2
2025.02.18	00:11:13.648	1.26164				2
2025.02.18	00:11:14.881	1.26177	1.26261			6
2025.02.18	00:11:16.111		1.26260			4
2025.02.18	00:11:26.870	1.26176	1.26267			6
2025.02.18	00:11:27.172		1.26265			4
2025.02.18	00:11:27.477	1.26172				2
2025.02.18	00:11:27.786		1.26259			4
2025.02.18	00:11:28.095		1.26253			4
2025.02.18	00:11:29.321		1.26257			4
2025.02.18	00:11:30.247		1.26258			4
2025.02.18	00:11:31.776		1.26260			4
2025.02.18	00:11:32.088		1.26259			4
2025.02.18	00:11:33.008		1.26255			4
2025.02.18	00:11:33.931		1.26257			4
2025.02.18	00:11:34.541		1.26256			4
2025.02.18	00:11:36.696		1.26252			4
2025.02.18	00:11:37.003		1.26250			4
2025.02.18	00:11:43.766		1.26251			4
2025.02.18	00:11:47.450	1.26173				2
2025.02.18	00:11:48.370	1.26161				2
2025.02.18	00:12:00.027	1.26161				2
2025.02.18	00:12:04.324	1.26162	1.26252			6
2025.02.18	00:12:08.319	1.26163	1.26253			6
2025.02.18	00:12:08.631	1.26162	1.26252			6
2025.02.18	00:12:09.242	1.26164	1.26254			6
2025.02.18	00:12:10.164	1.26161	1.26251			6
2025.02.18	00:12:47.115	1.26159	1.26249			6
2025.02.18	00:13:00.036	1.26159				2
2025.02.18	00:13:10.814	1.26160	1.26250			6
2025.02.18	00:13:20.050	1.26163	1.26263			6
2025.02.18	00:13:20.668		1.26260			4
2025.02.18	00:13:21.280		1.26259			4
2025.02.18	00:13:23.742		1.26258			4
2025.02.18	00:13:27.127	1.26153	1.26243			6
2025.02.18	00:13:28.669	1.26154	1.26244			6
2025.02.18	00:13:29.587	1.26153	1.26243			6
2025.02.18	00:13:31.132	1.26154	1.26244			6
2025.02.18	00:13:31.434	1.26153	1.26243			6
2025.02.18	00:13:31.741	1.26154	1.26244			6
2025.02.18	00:13:32.362	1.26155	1.26245			6
2025.02.18	00:13:35.127	1.26160	1.26250			6
2025.02.18	00:13:35.431	1.26159	1.26249			6
2025.02.18	00:13:39.122	1.26154	1.26244			6
2025.02.18	00:13:39.425	1.26155	1.26245			6
2025.02.18	00:13:42.189	1.26165	1.26255			6
2025.02.18	00:13:43.729	1.26164	1.26254			6
2025.02.18	00:13:45.879	1.26163	1.26253			6
2025.02.18	00:13:48.341	1.26165	1.26255			6
2025.02.18	00:13:48.647	1.26168	1.26256			6
2025.02.18	00:13:54.176	1.26167				2
2025.02.18	00:13:56.021	1.26169				2
2025.02.18	00:13:56.946	1.26170				2
2025.02.18	00:13:58.170		1.26257			4
2025.02.18	00:13:58.479		1.26256			4
2025.02.18	00:14:00.025	1.26170				2
2025.02.18	00:14:00.325	1.26171	1.26253			6
2025.02.18	00:14:00.632	1.26167				2
2025.02.18	00:14:02.785	1.26166				2
2025.02.18	00:14:04.019	1.26167				2
2025.02.18	00:14:05.857	1.26168				2
2025.02.18	00:14:06.166	1.26170				2
2025.02.18	00:14:11.101		1.26252			4
2025.02.18	00:14:12.020	1.26169				2
2025.02.18	00:14:12.324		1.26246			4
2025.02.18	00:14:19.706		1.26252			4
2025.02.18	00:14:20.010	1.26158	1.26254			6
2025.02.18	00:14:20.623		1.26253			4
2025.02.18	00:14:28.926		1.26259			4
2025.02.18	00:14:29.540		1.26258			4
2025.02.18	00:14:30.156		1.26255			4
2025.02.18	00:14:31.699	1.26159				2
2025.02.18	00:14:33.229	1.26158				2
2025.02.18	00:14:39.068		1.26260			4
2025.02.18	00:14:43.672	1.26159	1.26257			6
2025.02.18	00:14:47.374	1.26158				2
2025.02.18	00:14:49.211	1.26178	1.26261			6
2025.02.18	00:14:55.240		1.26266			4
2025.02.18	00:15:00.441	1.26178				2
2025.02.18	00:15:17.339	1.26222	1.26278			6
2025.02.18	00:16:26.657	1.26222	1.26278			6
2025.02.18	00:16:58.179	1.26232	1.26298			6
2025.02.18	00:17:00.460	1.26232				2
2025.02.18	00:17:07.055	1.26228				2
2025.02.18	00:17:38.617	1.26214				2
2025.02.18	00:17:39.223		1.26291			4
2025.02.18	00:17:40.754	1.26204	1.26286			6
2025.02.18	00:17:57.356		1.26287			4
2025.02.18	00:17:58.898		1.26284			4
2025.02.18	00:18:00.125	1.26204	1.26283			6
2025.02.18	00:18:10.569	1.26209				2
2025.02.18	00:18:10.877	1.26207	1.26287			6
2025.02.18	00:18:16.726	1.26208				2
2025.02.18	00:19:03.964	1.26208				2
2025.02.18	00:19:10.978		1.26287			4
2025.02.18	00:19:36.973		1.26286			4
2025.02.18	00:19:49.549		1.26287			4
2025.02.18	00:19:53.318		1.26286			4
2025.02.18	00:20:00.078	1.26208				2
2025.02.18	00:20:01.004		1.26285			4
2025.02.18	00:20:02.238		1.26286			4
2025.02.18	00:20:14.814		1.26285			4
2025.02.18	00:20:34.486		1.26286			4
2025.02.18	00:20:44.322		1.26287			4
2025.02.18	00:20:55.136	1.26209	1.26289			6
2025.02.18	00:20:57.307		1.26287			4
2025.02.18	00:21:00.079	1.26209				2
2025.02.18	00:21:00.379		1.26286			4
2025.02.18	00:21:08.062		1.26287			4
2025.02.18	00:21:26.215	1.26207	1.26283			6
2025.02.18	00:21:35.006	1.26211				2
2025.02.18	00:21:38.096		1.26278			4
2025.02.18	00:22:01.252	1.26212				2
2025.02.18	00:22:06.813	1.26203	1.26280			6
2025.02.18	00:22:08.680		1.26279			4
2025.02.18	00:22:14.833		1.26278			4
2025.02.18	00:22:20.368		1.26280			4
2025.02.18	00:22:27.837		1.26278			4
2025.02.18	00:22:29.987	1.26207	1.26279			6
2025.02.18	00:22:46.599		1.26269			4
2025.02.18	00:22:46.977	1.26206	1.26279			6
2025.02.18	00:22:47.300		1.26269			4
2025.02.18	00:22:48.795		1.26279			4
2025.02.18	00:22:49.097		1.26269			4
2025.02.18	00:22:49.418		1.26279			4
2025.02.18	00:22:49.730		1.26269			4
2025.02.18	00:22:50.250		1.26279			4
